p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.5168532992856925e-6,1.4063378928970414,0.324,0.096,0.05632465998471451,16,MRPL12
2.5574716917908996e-6,0.7277841653051416,0.297,0.079,0.05723365899058854,16,PAICS
2.5645810823344647e-6,0.9677945088778421,0.324,0.093,0.05739276004156298,16,MRPS10
2.5962944019282748e-6,0.9553953999256972,0.568,0.227,0.05810247242075286,16,PHB2
2.6070308529669545e-6,0.4390498787923528,0.541,0.2,0.05834274345854747,16,PNKD
2.611765417287547e-6,0.341202652686511,0.514,0.182,0.05844869827347801,16,SREK1
2.6160519567376624e-6,1.2688854924838093,0.324,0.095,0.05854462673983215,16,HOXB2
2.616134320062992e-6,0.962007621248338,0.351,0.106,0.0585464699486897,16,ABCE1
2.617966074614432e-6,1.0448011260116357,0.541,0.216,0.058587462783796375,16,PXDC1
2.618304269742146e-6,0.7131117544918992,0.486,0.175,0.05859503125255948,16,MRPL34
2.6370147969498808e-6,0.8894571540121805,0.351,0.104,0.05901375414094138,16,HPF1
2.6408140748222943e-6,0.7800876020376464,0.892,0.483,0.059098778180448126,16,ATP5MG
2.649171482220223e-6,1.1618548418867143,0.378,0.121,0.05928580860060637,16,SMIM20
2.6882571687364886e-6,1.5242149578369353,0.514,0.198,0.06016050717915388,16,LAMC1
2.725096305448819e-6,1.0622701254973244,0.514,0.196,0.06098493021963912,16,SRM
2.7324478058857254e-6,0.7816459971218669,0.486,0.18,0.06114944944791665,16,MRPS34
2.7942699806537667e-6,0.9107790784904969,0.459,0.167,0.06253296789705065,16,SSNA1
2.7991516642754016e-6,0.7520030557961201,0.486,0.179,0.06264221509481921,16,MRPL52
2.8023627505490504e-6,0.8342507202585344,0.378,0.12,0.0627140759945372,16,TRIM28
2.8110539261766123e-6,0.8414380814363431,0.784,0.432,0.06290857581390641,16,TIMP3
2.8213756162076284e-6,0.6610761462124835,0.973,0.88,0.06313956491511051,16,MT-CYB
2.8346591498753587e-6,0.5939107294477188,0.757,0.345,0.06343683711506065,16,PGK1
2.8371801697352306e-6,0.9573066600702569,0.27,0.068,0.06349325501850472,16,ICMT
2.8540486021150788e-6,0.3776189368946704,0.459,0.15,0.06387075366673335,16,UROD
2.8586045918204415e-6,0.910157836552097,0.757,0.423,0.06397271216034967,16,NDUFB2
2.8674773918192802e-6,0.90374908800524,0.486,0.174,0.06417127655152367,16,FNTA
2.89909657561758e-6,0.9474593350773681,0.351,0.106,0.06487888226574583,16,UBTF
2.9000468587267756e-6,0.8436629935329357,0.541,0.21,0.06490014865144651,16,LAMA4
2.9910562928226425e-6,0.6922376530607794,0.324,0.092,0.06693684877707792,16,PSMG4
3.079202117515781e-6,0.9303427637063522,0.459,0.166,0.06890946418788566,16,KMT2A
3.1319154444081044e-6,1.0922759002651372,0.27,0.069,0.07008913573040897,16,EEF1AKMT2
3.145170467467963e-6,0.8493687799572056,0.595,0.26,0.07038576989146554,16,CBX3
3.1895738429650718e-6,0.8598114210378554,0.378,0.122,0.07137947303171534,16,LSM10
