module,gene_symbol
neutrophil_degranulation,PPIA
neutrophil_degranulation,PPIE
neutrophil_degranulation,PRCP
neutrophil_degranulation,PRDX4
neutrophil_degranulation,PRDX6
neutrophil_degranulation,PRG2
neutrophil_degranulation,PRG3
neutrophil_degranulation,PRKCD
neutrophil_degranulation,PRSS2
neutrophil_degranulation,PRSS3
neutrophil_degranulation,PRTN3
neutrophil_degranulation,PSAP
neutrophil_degranulation,PSEN1
neutrophil_degranulation,PSMA2
neutrophil_degranulation,PSMA5
neutrophil_degranulation,PSMB1
neutrophil_degranulation,PSMB7
neutrophil_degranulation,PSMC2
neutrophil_degranulation,PSMC3
neutrophil_degranulation,PSMD1
neutrophil_degranulation,PSMD11
neutrophil_degranulation,PSMD12
neutrophil_degranulation,PSMD13
neutrophil_degranulation,PSMD14
neutrophil_degranulation,PSMD2
neutrophil_degranulation,PSMD3
neutrophil_degranulation,PSMD6
neutrophil_degranulation,PSMD7
neutrophil_degranulation,PTAFR
neutrophil_degranulation,PTGES2
neutrophil_degranulation,PTPN6
neutrophil_degranulation,PTPRB
neutrophil_degranulation,PTPRC
neutrophil_degranulation,PTPRJ
neutrophil_degranulation,PTPRN2
neutrophil_degranulation,PTX3
neutrophil_degranulation,PYCARD
neutrophil_degranulation,PYGB
neutrophil_degranulation,PYGL
neutrophil_degranulation,QPCT
neutrophil_degranulation,QSOX1
neutrophil_degranulation,RAB10
neutrophil_degranulation,RAB14
neutrophil_degranulation,RAB18
neutrophil_degranulation,RAB24
neutrophil_degranulation,RAB27A
neutrophil_degranulation,RAB31
neutrophil_degranulation,RAB37
neutrophil_degranulation,RAB3A
neutrophil_degranulation,RAB3D
neutrophil_degranulation,RAB44
neutrophil_degranulation,RAB4B
neutrophil_degranulation,RAB5B
neutrophil_degranulation,RAB5C
neutrophil_degranulation,RAB6A
neutrophil_degranulation,RAB7A
neutrophil_degranulation,RAB9B
neutrophil_degranulation,RAC1
neutrophil_degranulation,RAP1A
neutrophil_degranulation,RAP1B
neutrophil_degranulation,RAP2B
neutrophil_degranulation,RAP2C
neutrophil_degranulation,RETN
neutrophil_degranulation,RHOA
neutrophil_degranulation,RHOF
neutrophil_degranulation,RHOG
neutrophil_degranulation,RNASE2
neutrophil_degranulation,RNASE3
neutrophil_degranulation,RNASET2
neutrophil_degranulation,ROCK1
neutrophil_degranulation,S100A11
neutrophil_degranulation,S100A12
neutrophil_degranulation,S100A7
neutrophil_degranulation,S100A8
neutrophil_degranulation,S100A9
neutrophil_degranulation,S100P
neutrophil_degranulation,SCAMP1
neutrophil_degranulation,SDCBP
neutrophil_degranulation,SELL
neutrophil_degranulation,SERPINA1
neutrophil_degranulation,SERPINA3
neutrophil_degranulation,SERPINB1
neutrophil_degranulation,SERPINB10
neutrophil_degranulation,SERPINB12
neutrophil_degranulation,SERPINB3
neutrophil_degranulation,SERPINB6
neutrophil_degranulation,SIGLEC14
neutrophil_degranulation,SIGLEC5
neutrophil_degranulation,SIGLEC9
neutrophil_degranulation,SIRPA
neutrophil_degranulation,SIRPB1
neutrophil_degranulation,SLC11A1
neutrophil_degranulation,SLC15A4
neutrophil_degranulation,SLC27A2
neutrophil_degranulation,SLC2A3
neutrophil_degranulation,SLC2A5
neutrophil_degranulation,SLC44A2
neutrophil_degranulation,SLCO4C1
neutrophil_degranulation,SLPI
neutrophil_degranulation,SNAP23
neutrophil_degranulation,SNAP25
neutrophil_degranulation,SNAP29
neutrophil_degranulation,SPTAN1
neutrophil_degranulation,SRP14
neutrophil_degranulation,STBD1
neutrophil_degranulation,STING1
neutrophil_degranulation,STK10
neutrophil_degranulation,STK11IP
neutrophil_degranulation,STOM
neutrophil_degranulation,SURF4
neutrophil_degranulation,SVIP
neutrophil_degranulation,SYNGR1
neutrophil_degranulation,TARM1
neutrophil_degranulation,TBC1D10C
neutrophil_degranulation,TCIRG1
neutrophil_degranulation,TCN1
neutrophil_degranulation,TICAM2
neutrophil_degranulation,TIMP2
neutrophil_degranulation,TLR2
neutrophil_degranulation,TMBIM1
neutrophil_degranulation,TMC6
neutrophil_degranulation,TMEM179B
neutrophil_degranulation,TMEM30A
neutrophil_degranulation,TMEM63A
